id_nodo	nombre_nodo	ano_apa	subclass	attr	class_nodo
a.1	Emma Reyes	1915	Colombia	45	artista
a.2	Édgar Negret		Colombia	31	artista
a.3	Lorenzo Homar		Puerto Rico	29	artista
a.4	Ómar Rayo	1928	Colombia	28	artista
a.5	María de la Paz Jaramillo	1948	Colombia	27	artista
a.6	Gy Szabo Bela		Rumania	25	artista
a.7	Pedro Alcántara Herrán	1942	Colombia	22	artista
a.8	Álvaro Barrios		Colombia	21	artista
a.9	Beatriz González	1938	Colombia	20	artista
a.10	Hernán Díaz		Colombia	20	artista
a.11	Antonio Caro	1950	Colombia	17	artista
a.12	Enrique Grau	1920	Colombia	17	artista
a.13	Gustavo Zalamea		Colombia	16	artista
a.14	Óscar Muñoz	1951	Colombia	15	artista
a.15	Luis Eduardo Borja		Colombia	15	artista
a.16	Luis Caballero	1942	Colombia	15	artista
a.17	Lucy Tejada	1920	Colombia	14	artista
a.18	Nunik Sauret		México	12	artista
a.19	León Ferrari		Brasil	12	artista
a.20	Juan Antonio Roda	1921	Español	12	artista
a.21	Teresa Cuéllar		Colombia	11	artista
a.22	Santiago Cárdenas	1932	Colombia	10	artista
a.23	Hernando Tejada	1924	Colombia	11	artista
a.24	David Manzur	1929	Colombia	10	artista
a.25	Daniel Zelaya		Argentina	9	artista
a.26	Umberto Giangrandi		Colombia	8	artista
a.27	Rafael Moure		Colombia	8	artista
a.28	Pablo Obelar		Uruguay	8	artista
a.29	Liliana Porter	1941	Argentina	8	artista
a.30	Antonio Barrera	1948	Colombiana	7	artista
a.31	Fernell Franco Barrios	1942	Colombia	0	artista
a.32	Carlos Cruz-Diez		Venezuela	7	artista
a.33	Wifredo Lam		Cuba	6	artista
a.34	Paul-Armand Gette		Francia	5	artista
a.35	Manuel Hernández	1928	Colombiana	5	artista
a.36	Linda Troeller		Estados Unidos	6	artista
a.37	Francois Dolmetsch	1940	Inglaterra	0	artista
a.38	Emilio Sánchez		Cuba	5	artista
a.39	Eduardo Ramírez Villamizar		Colombia	6	artista
a.40	Carlos Rojas		Colombia	6	artista
a.41	Alejandro Obregón	1920	Español	6	artista
a.42	Peter Milton		Estados Unidos	5	artista
a.43	Miguel Ángel Rojas		Colombia	5	artista
a.44	María Thereza Negreiros	1930	Brasileña 	5	artista
a.45	Luis Camnitzer		Uruguay	5	artista
a.46	Leonel Góngora	1932	Colombia	5	artista
a.47	Gregorio Cuartas	1938	Colombia	4	artista
a.48	Ever Astudillo	1948	Colombia	5	artista
a.49	Eugenio Dittborn	1943	Chile	5	artista
a.50	Diego Arango	1946	Colombia	5	artista
a.51	Víctor Laignelet	1955	Colombia	4	artista
a.52	Sylvia Patiño		Colombia	4	artista
a.53	Susy Iglicki		Venezuela	4	artista
a.54	Sergio Camporeale	1937	Argentina	4	artista
a.55	Roser Bru		Chile	4	artista
a.56	Rodolfo Abularach	1933	Guatemala	4	artista
a.57	Robert Nelson		Estados Unidos	4	artista
a.58	René Portocarrero		Cuba	4	artista
a.59	Mercedes Sebastián		Colombia	4	artista
a.60	María Cristina Cortés		Colombia	4	artista
a.61	León Alcántara		Colombia	4	artista
a.62	Juan Camilo Uribe		Colombia	4	artista
