Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Cuadros y motivos místicos de los Siglos XIII y XIX				1956	3	29-mar.					Motivos religiosos	NA		NA					Casona San Antonio										
Reproducciones Francesas, impresionistas y modernas				1956	4	7-abr.						NA		NA		Soffy Arboleda de Vega			Casona San Antonio										
I Galería de Pintores Colombianos Residentes en el Valle del Cauca 	Carlos Correa, Julio Abril, Hernando Tejada, Pablo Gálvez, Luis Aragón, Jesus María Espinoza, Mario Rojas, Héctor Labrada, Mireya Zawadsky, Maruja de Rengifo, Daniel Romero Lozano, Antonio Ramírez, Iván González, Rosita Carvajal, Ana de Gamboa,Hernán Muñoz.    	Carlos Correa, Julio Abril, Hernándo Tejada, Pablo Gálvez, Luis Aragón, Jesus María Espinoza, Mario Rojas, Héctor Labrada, Mireya Zawadzki, Maruja de Rengifo, Daniel Romero Lozano, Antonio Ramírez, Iván González, Rosita Carvajal, Ana de Gamboa,Hernán Muñoz    	Colombiana	1956	5	2-may.				Colectiva		Pintura		NA					Casona San Antonio										
Obras de Alejandro Obregón	Alejandro Obregón	Alejandro Obregón	Española-colombiana	1956	6	14-jun.				Individual		NA		NA	Julio Abril				Casona San Antonio										
Exposición de fotografía				1956	7	19-jul.				Temática-colectiva	Vida cotidiana	Fotografía		NA					Casona San Antonio										
Exposición de Lucy Tejada 1956	Lucy Tejada	Lucy Tejada	Colombiana	1956	10	5-oct.				Individual		Grabado		NA	Jaime Soto				Casona San Antonio										
Temas de Boca-Grande	Mireya Zawadzky	Mireya Zawadzki	Colombiana	1956	10	19-oct.				Individual		NA		NA	Alfonso Bonilla Aragón				Casona San Antonio										
Óleos y témperas de Alejandro Obregón	Alejandro Obregón	Alejandro Obregón	Española-colombiana	1956	10	26-oct.				Individual		Pintura	Óleo y témpera	NA	Emma Alder de Gamboa 				Casona San Antonio										
Exposición de caricatura				1956	11	9-nov.						Caricatura		NA	José Gers				Casona San Antonio										
Exposición de Yesid Montaña	Yesid Montaña	Yesid Montaña	Colombiana	1956	11	16-nov.				Individual		Pintura		NA	Octavio Gamboa				Casona San Antonio										
Acuarelas de Hernando Tejada y María Teresa de Patiño	Hernando Tejada,María Teresa de Patiño	Hernándo Tejada,María Teresa de Patiño	Colombiana	1956	11	27-nov.				Colectiva		Pintura	Acuarela	NA	Enrique Buenaventura				Casona San Antonio										
Exposición de Jorge Elías Triana	Jorge Elías Triana	Jorge Elías Triana	Colombiana	1956	12	13-dic.				Individual		Pintura		NA	Gustavo Camargo				Casona San Antonio										
Acuarelas y óleos de Carlos Correa	Carlos Correa	Carlos Correa	Colombiana	1957	3	1-mar.	1957-03-01			Individual		Pintura	Óleo, acuarela y pastel	NA	Néstor Sanclemente				Casona San Antonio		d2.pdf								
Pintura al Óleo del artista español José María Vidal	José María Vidal	José María Vidal	Colombiana	1957	4	6-abr.				Individual		Pintura		NA	José María Capdevila				Casona San Antonio										
Exposición de vitrales de Mona Mondineu	Mona Mondineu	Mona Mondineu	#N/A	1957	6	14-jun.				Individual		Vitral		NA	Óscar Gerardo Ramos				Casona San Antonio										
Jornadas de Mayo	Lucy Tejada, Mireya Zawadzki, Hernán Muñoz, Alfonso Vinasco, Mario Roldán, Hernándo Tejada, Carlos Ruiz, Julio Abril, Edgard Bueno, Hernando Salazar	Lucy Tejada, Mireya Zawadzki, Hernán Muñoz, Alfonso Vinasco, Mario Roldán, Hernándo Tejada, Carlos Ruiz, Julio Abril, Hernando Salazar	Colombiana	1957	7	15-jul.	1957-07-05			Colectiva		NA		NA	Carlos Garcés Córdoba			d1.txt	Casona San Antonio		d1.pdf								
Exposición de Mireya Zawadzky	Mireya Zawadzky	Mireya Zawadzki	Colombiana	1957	4	Abril				Individual		NA		NA	Carlos Garcés Córdoba				Casona San Antonio										
Pintura abstracta de Carlos Rojas	Carlos Rojas	Carlos Rojas	Colombiana	1957	11	5-nov.				Individual		Pintura		NA	José María Vivas Balcázar				Casona San Antonio										
Óleos de Ómar Rayo	Ómar Rayo	Ómar Rayo	Colombiana	1957	11	20-nov.	1957-11-20		#NUM!	Individual		Pintura		NA	Alba Inés Vivas	Dirección de Bellas Artes y Extensión Cultural del Valle		d3.txt	Casona San Antonio	0001p	d3.pdf								
Acuarelas de Dicken Castro y cerámica Lucy Tejada	Dicken Castro,Lucy Tejada	Dicken Castro,Lucy Tejada	Colombiana	1957	12	6-dic.				Colectiva		NA		NA	Lucy Morales				Casona San Antonio										
José de Rokha	José de Rokha	José de Rokha	Chilena	1958	2	7-feb.	1958-02-07	1958-02-14	7	Individual		Pintura		NA	Mireya Zawadzki	Dirección de Bellas Artes y Extensión Cultural del Valle	Waldo Vila, Víctor Carbacho, Pier Randall, Alberto Borges	d4.txt	Casona San Antonio	0002p	d4.pdf			Maritza Uribe de Urdinola, Miriam Ospina de Borrero, Soffy Arboleda, Leonor Campo de Lega, Gustavo Balcázar Monzón, Oscar Gerardo Ramos, Octavio Gamboa, Jaime Lozano Henao					
Exposición de fotografía vallecaucana	Varios	Varios	Colombiana	1958	3	7-mar.				Colectiva		Fotografía		NA	José María Vivas Balcázar				Casona San Antonio										
Exposición de pinturas de Pedro Gross (el mago "gross")	Pedro Gross	Pedro Gross	Española	1958	5	16-may.	1958-05-16			Individual		Varias		NA					Casona San Antonio		d6.pdf								
Exposición de José Luis de Figueroa	José Luis de Figueroa	José Luis de Figueroa	Española	1958	6	19-jun.	1958-06-19	1958-06-23	4	Individual		Pintura		NA	Óscar Gerardo Ramos				Casona San Antonio		d5.pdf								
Exposición de Aníbal Gil	Aníbal Gil	Aníbal Gil	Colombiana	1958	7	Julio				Individual		Pintura, Dibujo,Grabado	Óleo, acuarela, dibujo y grabado	NA	Enrique Buenaventura				Casona San Antonio										
Exposición de prensa estudiantil	Varios	Varios	Colombiana	1958	7	20-jul.				Colectiva		NA		NA					Casona San Antonio										
Exposición de acuarela chilena	Varios	Varios	Chilena	1958	10	17-oct.				Colectiva		Pintura	Acuarela	NA					Casona San Antonio										
Exposición de Carlos Ruiz 	Carlos Ruiz	Carlos Ruiz		1958	11	28-nov.				Individual		Pintura		NA	Nicolás Buenaventura				Casona San Antonio										
Exposición de dibujo infantil	Varios	Varios	Colombiana	1958	12	8-dic.				Colectiva		Dibujo		NA					Casona San Antonio										
Exposición de carteles comerciales	Varios	Varios		1958	12	13-dic.				Colectiva		Cartel		NA	Jaime Correa				Casona San Antonio										
Exposición Lucy Tejada y María Thereza Negreiros	Lucy Tejada,María Thereza Negreiros	Lucy Tejada,María Thereza Negreiros	Varias	1958	12	19-dic.				Colectiva		Dibujo,Cerámica		NA	Álvaro Navia Monedero				Casona San Antonio										
Apuntes de Viaje	Hernando Tejada	Hernándo Tejada	Colombiana	1959	5	29-may.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Jaime López Correa	Jaime López Correa	Jaime López Correa	Colombiana	1959	6	26-jun.				Individual		Pintura,Cerámica		NA					Casona San Antonio										
Exposición de libros y caricaturas españolas	Varios	Varios	Española	1959	9	7-sept.				Colectiva		Editorial,Caricatura		NA	Manuel M. Bendaño				Casona San Antonio										
Leandro Velasco	Leandro Velasco	Leandro Velasco	Colombiana	1959	10	30-oct.	1959-10-30			Individual		Pintura	Óleo, Dibujos, Vitrales	NA		Dirección de Bellas Artes y Extensión Cultural del Valle			Casona San Antonio		d13.pdf								
Arboleda	Alberto Arboleda	Alberto Arboleda	Colombiana	1959	11	6-nov.	1959-11-06			Individual		Collage,Cerámica		NA					Casona San Antonio		d11.pdf								
Exposición de carteles cinematográficos	Varios	Varios		1959	12	16-dic.				Colectiva		Cartel		NA					Casona San Antonio										
Alberto Gutiérrez	Alberto Gutiérrez	Alberto Gutiérrez	Colombiana	1960	1	22-ene.				Individual		Pintura	Óleo, Acuarela	NA			Marta Traba	d19.txt	Casona San Antonio		d19.pdf								
Exposición de Pablo Rocha	Exposción de acuarelas 	Pablo Rocha	Colombiana	1960	1	28-ene.	1960-02-08	1960-02-15	7	Individual		Pintura	Acuarela	NA				d16.txt	Casona San Antonio		d16.pdf								
16 pinturas de Juan Antonio Roda	Antonio de Roda	Juan Antonio Roda	Española-colombiana	1960	3	4-mar.	1960-03-04			Individual		Pintura	Óleo	NA					Casona San Antonio		d31.pdf								
David Manzur	David Manzur	David Manzur	Colombiana	1960	3	25-mar.				Individual		Pintura		NA			David Manzur	d12.txt	Casona San Antonio		d12.pdf								
A. Rivera G.	Augusto Rivera	Augusto Rivera	Colombiana	1960	5	6-may.	1960-05-06	1960-05-14	8	Individual		Pintura,Grabado	Acuarelas, oleos, ducos, grabados, dibujos	NA					Casona San Antonio		d14.pdf								
Oleos recientes de Marielle Muheim	Marielle Muheim	Marielle Muheim	Suiza	1960	6	7-jun.	1960-06-07			Individual		Pintura	Óleo	NA			Marta Traba	d18.txt	Casona San Antonio		d18.pdf							Sin título, Sin título	3925, 3926
Exposición de Hernando Tejada 1960	Hernando Tejada	Hernándo Tejada	Colombiana	1960	6	17-jun.				Individual		Dibujo	Crayola	NA					Casona San Antonio										
Jan Palmer y S. Crawford	Jan Palmer, S. Crawford	Jan Palmer, S. Crawford		1960	7	1-jul.	1960-07-01	1960-07-15	14	Colectiva		Pintura	Óleo	NA					Casona San Antonio		d15.pdf								
Sessano	Calero Sésamo	Carlos Sessano	Argentina	1960	7	12-jul.	1960-07-15			Colectiva		NA		NA					Casona San Antonio		d30.pdf								
Samuel Montealegre dibujos	Samuel Montealegre	Samuel Montealegre	Colombiana	1960	11	14-nov.	1960-11-04	1960-11-15	11	Individual		Pintura		NA					Casona San Antonio		d17.pdf							Los músicos de Bizancio	2124
Exposición de Leandro Velasco 1960	Leandro Velasco	Leandro Velasco	Colombiana	1960	11	15-nov.				Individual		Vitral		NA		Dirección de Bellas Artes y Extensión Cultural del Valle			Casona San Antonio										
Exposición de Elio Berhanyer	Elio Berhanyer	Elio Berhanyer		1960	12	29-dic.				Individual		Escultura		NA	Sacerdote Sendoya				Casona San Antonio										
Óleos	Saúl Balagura	Saúl Balagura		1961	1	20-ene.				Individual		Pintura	Óleo	NA	Néstor Sanclemente				Casona San Antonio		d26.pdf								
